epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3798,1.6351,0.84095,2.10931,0.947,0.9354,0.9681,0.67234,2.60564,1.06832,2.67801,0.0001684,0.0001684,0.0001684
86,3906.56,1.61185,0.83957,2.10348,0.95401,0.93989,0.96879,0.67012,2.60388,1.05566,2.67217,0.0001585,0.0001585,0.0001585
87,4015.27,1.6144,0.82805,2.11182,0.93932,0.93819,0.96627,0.66751,2.60398,1.07427,2.68692,0.0001486,0.0001486,0.0001486
88,4121.86,1.62203,0.83744,2.10386,0.96424,0.94254,0.97507,0.67516,2.57519,0.94315,2.67106,0.0001387,0.0001387,0.0001387
89,4229.31,1.61134,0.83539,2.1032,0.96268,0.94744,0.97523,0.6714,2.59957,0.94185,2.69044,0.0001288,0.0001288,0.0001288
90,4337.54,1.59834,0.81132,2.09726,0.96614,0.94115,0.97399,0.66876,2.62262,0.9533,2.69213,0.0001189,0.0001189,0.0001189
91,4447.76,1.49429,0.55699,2.02515,0.94516,0.94864,0.96916,0.67058,2.57236,1.08134,2.66495,0.000109,0.000109,0.000109
92,4553.78,1.45023,0.53867,2.00763,0.95039,0.94665,0.9707,0.67148,2.56454,1.03678,2.65337,9.91E-05,9.91E-05,9.91E-05
93,4659.65,1.44404,0.53639,1.99647,0.94783,0.94312,0.96802,0.66955,2.53876,1.07665,2.63126,8.92E-05,8.92E-05,8.92E-05
94,4765.67,1.44231,0.53244,2.00135,0.94694,0.94044,0.96723,0.67391,2.54821,1.09081,2.63927,7.93E-05,7.93E-05,7.93E-05
95,4872.6,1.41837,0.52093,1.99602,0.94575,0.94213,0.96738,0.67237,2.53494,1.08368,2.63425,6.94E-05,6.94E-05,6.94E-05
96,4978.88,1.41114,0.51737,1.98298,0.94465,0.94107,0.96903,0.67544,2.53219,1.0544,2.64839,5.95E-05,5.95E-05,5.95E-05
97,5084.46,1.40087,0.5009,1.98093,0.95254,0.94688,0.97277,0.68157,2.51316,1.01894,2.63762,4.96E-05,4.96E-05,4.96E-05
98,5189.79,1.39149,0.51354,1.97874,0.95263,0.94652,0.97273,0.67963,2.53818,1.02932,2.65915,3.97E-05,3.97E-05,3.97E-05
99,5294.47,1.38476,0.50783,1.97634,0.95913,0.93551,0.97171,0.67906,2.54375,1.04545,2.66163,2.98E-05,2.98E-05,2.98E-05
100,5400.12,1.37387,0.50002,1.96409,0.95233,0.94742,0.9728,0.6789,2.54603,1.02128,2.66369,1.99E-05,1.99E-05,1.99E-05
